,Produit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
70,"72 Fonte, fer et acier",16796953.0,15593859.0,14795046.0,13447214.0,18459097.0,20850497.0,21964040.0,19815384.0,17689236.0,11255546.0,104491446.0,95568135.0,96268233.0,11049741.0,7935754.0,6117918.0,10311559.0,3211367.0,1064112.0,417221.0,700026.0,2678369.0,13996923.0,4034214.0,,34000.0,681900.0,183500.0,69240.0,314480.0
71,"73 Ouvrages en fonte, fer ou acier",59554731.0,35278579.0,46834617.0,40222046.0,38847259.0,36937337.0,23974491.0,14467382.0,27154322.0,48822401.0,30505914.0,14746921.0,34951261.0,5255308.0,20777351.0,2804034.0,3284432.0,3443940.0,2609002.0,9303017.0,7010230.0,10686646.0,2881327.0,3244368.0,5590800.0,7686010.0,6223400.0,5687420.0,8227050.0,41799980.0
72,74 Cuivre et ouvrages en cuivre,14076987.0,25233070.0,15921576.0,16676008.0,8350887.0,8388407.0,26821858.0,24921239.0,30648169.0,37107986.0,16292663.0,13810546.0,11515423.0,4135000.0,4215106.0,1583000.0,1094880.0,1327610.0,3450000.0,3118350.0,28936490.0,4075782.0,13313837.0,2894000.0,3180460.0,2659900.0,4002790.0,4169300.0,4954650.0,6080960.0
73,75 Nickel et ouvrages en nickel,,,,,139913.0,,,21530.0,,,,,,,,,,,,,,,,,,,,,,
74,76 Aluminium et ouvrages en aluminium,28640144.0,30094232.0,32852374.0,42773852.0,37769615.0,49527390.0,28955451.0,50777846.0,45498844.0,51129093.0,38081527.0,37029669.0,26148057.0,28537449.0,32732837.0,20013634.0,18764155.0,15521510.0,26762945.0,17350128.0,35537255.0,23772983.0,19611499.0,16764148.0,13537110.0,5743470.0,5866480.0,7192650.0,7565493.0,26565134.0
75,78 Plomb et ouvrages en plomb,34576.0,,16206.0,,178995.0,10495.0,24753.0,,3591.0,,,6864.0,6098.0,69945.0,,21206.0,,,,,,1805000.0,1888173.0,,,,,,,700000.0
76,79 Zinc et ouvrages en zinc,,10322.0,,9034.0,6527.0,,165014.0,152772.0,67387.0,232110.0,154600.0,929149.0,2957095.0,3772000.0,,39954.0,,17549.0,4200.0,58800.0,28449.0,,,,,,,,,
77,80 Etain et ouvrages en étain,658100.0,361300.0,73000.0,209000.0,,7160.0,34758.0,65957.0,140461.0,387756.0,32085.0,255688.0,300000.0,621000.0,866500.0,,,,,,,,,,,,,33550.0,9900.0,35000.0
78,81 Autres métaux communs; cermets; ouvrages en ces matières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000.0
79,"82 Outils et outillage, articles de coutellerie et couverts de table, en métaux communs; parties de ces articles, en métaux communs",15869143.0,5688783.0,5100208.0,5859752.0,20936199.0,20841777.0,1805372.0,4996649.0,5674069.0,7607073.0,3366144.0,3244200.0,50412193.0,6226260.0,69067742.0,4406171.0,15055479.0,5158533.0,5143667.0,13344403.0,26225740.0,19233367.0,8300572.0,4796349.0,2509590.0,3634850.0,5280240.0,5521130.0,3018740.0,62370.0
